QmWQjtyfmJZ6CQEu2ULsAyTrLoBnHZr9Nw5y9wCcRRZUD3,0x30a0911731f6eC80c87C4b99f27c254639A3Abcd,closed,6473962.52514867,1078.5607668900016,6475041.085915559,1600799760
Qme8MYH2nWR3qcecxnVU5F824VJ2LjeKKr5mNaVdQ7ZfcF,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,435.0928500931365,568253.9623847066,664111.0826862779,1600416845
QmS8n7JVy9p96e1Kooe4LMzR49yCuqySxM1vTuZZjRktYF,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,402.31828886219944,0,1236.051887540263,1600414067
QmZ7s6137TcW7rBXePy29sKzX7hX4CtBnnQj1tGUDdFGMV,0xd76c6901c3e6E7f4C2C504aA27830B665EC2de75,closed,0,0,0,1600353276
QmbJQ9x525xBqFqGShcJUWZqFcDUso1uVs1MxhnV8UySW2,0x81893b7A5661D4BBADB29c5900d26af6BFE81Aeb,closed,undefined,undefined,0,1600323868
QmPZ9oZ9odtHBDKhuMJSrM6sWCimEh9LMGinehqJC8VEwL,0x81893b7A5661D4BBADB29c5900d26af6BFE81Aeb,closed,undefined,undefined,0,1600322410
QmScN4xYPDDZNmkcpz2bZYqg1TUrxBikKs2wii3iNvNasd,0x33c3af383d912B5DE662a3964e6008F1CB5DdAF7,closed,0,7.274948236168812,1536.645056206999,1600218884
QmSzYHrXfD8NrMZ2ch12dgT7mDYEdskiu2YqZ5bNeH3pvf,0xB5CE69909FB22BC37702f1504c1eF8e23084Da49,closed,812.9830761700636,24.91672683108632,837.8998030011498,1600210326
QmPELBjaXJMuoPvi6xkzjCv6Gc6qxNrhFQYrFSEFcBzdid,0x82e5290C810539e120193DFA8B1C1207BAd89FAB,closed,351.95027494989057,0,588.8996210160724,1600167428
Qmdpr5nfFdHVsMQskUaEX8TqT54PrAUvFFvuwft7zc9pHU,0x333eE98d84b087208353038e10E1b4600A0A3967,active,undefined,undefined,0,1600139157
QmXsUc969nZBevTQhMPgF5WD6mJKjn836yk4R9EgRYxVgF,0x27726763E0dd39F3582650fdB5287B81D04bDD92,closed,0,25.00000000001336,1360.3804612836552,1600137081
QmY1XoFHjHTroNRwRowGsxwhjaKTj97Zrw2m7VcTpurUvh,0xf6423ebAEf6996Aee56ecb1D49be02613aF8555E,closed,669.6731495426818,0,669.6731495426818,1600023757
Qmc3BQR939HTQdungssb5HJj8tczqzX5rdnNkKLmnhqyFX,0xf6423ebAEf6996Aee56ecb1D49be02613aF8555E,closed,0,0,0,1600021820
QmWbNxa23q6pTinJBTYTApVEyTUqx3N5udN38HvczWkD3p,0xE5B2124767F10D21F643Db08E4eBf0f17250d582,closed,0,0,96.57008352303151,1600020250
QmPquCKbEBK41zMh8Kxbo42tdRfo6xjxUy7VPFBw38STY1,0x10747f32528d086c781630DFe377F1A3f524d6f4,closed,0,0,0,1600010934
QmeEUyk6kC8WRtqhZ8WWbnTHLU4UPmNvLeZqCSkZSxTnr5,0x10747f32528d086c781630DFe377F1A3f524d6f4,closed,25.88650516030859,0,25.886505160308594,1600010578
QmcJemBfHfrmCrrvAdcVk8U4zqM3XGj2DZ68gDdPr7cjzo,0x10747f32528d086c781630DFe377F1A3f524d6f4,closed,undefined,undefined,0,1600010351
QmREmG7pozfySg8YEctH35dKGaHPUKsVuSZmW5UAakAh76,0x10747f32528d086c781630DFe377F1A3f524d6f4,closed,0,0,0,1600010275
QmQmrAAhjbiYUTUqFvjcxhZ79Eo3nZj5JsrsRLrbJY5sjz,0x1846837591FCDEfF4ec8e01Ef8bB76645672b153,closed,68.69242766177852,0,68.69242766177852,1599997700
QmZ58Lp1JDvMXB6qXopsgwvz5VTgZ6ihCpzwjHYymBDH2q,0x069e85D4F1010DD961897dC8C095FBB5FF297434,closed,189.7858329963204,124.91033191074042,314.69616490706085,1599962293
QmSd8QEpwjoJ9pHRPLRhqNTA8FQRz4Vs4d8g9xNvAbrwy2,0xa4A381864C03bDBd624ACb190c3fd4FB00e4923d,closed,192.97742825528076,1581.6369922494189,1774.6144205046992,1599936152
QmV7hhMQKLYfhYeakGAXb3nXM8LsqYq1LSTAH2iZ32YRkr,0xbC7b2461bfaA2fB47bD8f632d0c797C3BFD93B93,closed,undefined,undefined,0,1599932910
QmfFqZbf9bxLHCFnKSfqeVUHvUHYsUtUt7NVazfui9XkBP,0x1ff7d6ED0A68f665981Da611CEd8eAd1fAe89234,closed,0,0,394.15719090173667,1599928956
QmcbcJPfdKUN6MMq6nUq5nReFgp1f8iXTVAZcHcekPY84v,0x038eE56230ECC8fa7B2D2867FFEB424470b1E214,closed,2172.714135335241,0,2871.5084511904865,1599927271
QmWKLbF4JBgRvSYYEZH5EPzjcF4jSA8TxHJJQE38VyLJcG,0x5ad3EdaBa22E3E08FD978deDC579795D260d52C8,closed,5293.2759397847485,500.61957094444847,5793.895510729197,1599925758
QmQkr5x4UD5PX1DMuKRrMQJK9vbBosqsgZnoNALoV8rLXY,0xB9f191316c5aDd0355a237aA6E76CB1083192034,closed,860.6711602267911,500.61957094444847,1361.2907311712395,1599922179
QmY66XwcgCSNGju7FK1E4wbVHyLy1KukBZw1Egq5nqHxdL,0xE80B5097862cAB9d83846875752d7201fF42C7E9,closed,31660.00054029526,32622.932449739303,1219946.3605245391,1599920309
QmUEzga9yP2DSAYo4rYWZ8fz9tG7HKEC1p3C5dyaEYgLJn,0x2e37561E5cd35E649F4aCad3cAA6be8B16c87C13,closed,53.83074856359401,946.306159109158,1077.792976593837,1599915486
QmdUUJeVr8bDExRzXmws51Bu2HGnj11VYT7YntGVxZRqy6,0x2e37561E5cd35E649F4aCad3cAA6be8B16c87C13,closed,53.83074856359401,3287.8682776373994,10480.206223925701,1599914971
QmV97u2MKSUH1Xh6Ly9cZCtGVRkHUtJDahnc164z9o9R9g,0x2e37561E5cd35E649F4aCad3cAA6be8B16c87C13,closed,0,12.10381841431048,1172.466019568448,1599914670
QmccP53kWWGgAxGDnSEmR4CJ4zvPyvaHayTrcmcv7KZy3n,0x4A63552f00C841186E5174179A8c7D44Fe85aBAA,closed,0,0,0,1599914434
Qmdw4N86MGnpP4giA66PKtHKodG12w1WS42vVGyEDJ9NUh,0x4A63552f00C841186E5174179A8c7D44Fe85aBAA,closed,58.597063928383655,0,4237.982552657109,1599913948
QmNqnYpCgmpoaJPDTBsDzKsRc4Y2dqLGkHi7heMCsWRXov,0xEDdAF8E0340D04349b7001c64b6236911F74eDa4,closed,20.206844305845,1068.118032780022,1196.6458987610927,1599913889
QmZnsfv1m4kgSwM9YixfHo8HZoF4TznAYZ6dgFfdZ5m6rA,0xbB4B818130666AAA6f941c36f6726cD03ED126A1,closed,1253.9467944148023,845.3071946236436,2099.253989038446,1599912086
QmRtN1736QLy7Kr74iMXn2YgaPy8NkxmxSJq8c612HdJ1N,0x30a0911731f6eC80c87C4b99f27c254639A3Abcd,closed,12472.878611625049,11297.6188198676,437255.6475980601,1599906554
QmNbA89xVnyQ1fgLUuh8cQA5sdL1SBXNaNNDsdQvg1WE4c,0xD4a622A7bF6F0196391878315b518E5518D4A8e8,closed,0,0,59.28531334900816,1599902365
QmcKvaZmR9JUeEtFVpkNamG2nP3iQGi4wH2dy8qb6Gfk9L,0x875f6DC5c6e671a99b6B75FfC8be749fE024A8A9,closed,55.698966166366155,3155.333868232158,22781.1463663224,1599899521
QmSir5B1fjFBRF46QcAncq1r1H8HEcQy23TvkZmZSSJkwU,0x9cDEA12621A2ac04B80Cd60afBF7eFf364AFA305,closed,3627.114065574467,514.3572661111326,4141.4713316856,1599894472
QmP56ctCyt9YPWAZM1vdPUPGMrcMNJhnMHogkYrRws9Aqh,0x32090756e61322BE936c7F903B40ceA24641Ed04,closed,0,0,552.6136740477253,1599892649
